Order ID,Amount,Profit,Quantity,Category,Sub-Category,Payment Mode,AOV
B-25696,275,-275,4,Clothing,Saree,COD,69
B-25675,929,-93,9,Clothing,Saree,COD,103
B-25650,512,-225,5,Clothing,Saree,COD,102
B-25787,556,-209,7,Clothing,Saree,COD,79
B-25691,714,56,4,Clothing,Saree,COD,179
B-25831,693,254,6,Clothing,Saree,COD,116
B-25796,632,-316,6,Clothing,Saree,COD,105
B-25693,632,316,6,Clothing,Saree,COD,105
B-25785,595,292,3,Clothing,Saree,COD,198
B-25602,561,212,3,Clothing,Saree,COD,187
B-25828,537,107,3,Clothing,Saree,COD,179
B-25651,457,-41,4,Clothing,Saree,COD,114
B-26055,443,11,1,Clothing,Saree,COD,443
B-26056,424,161,2,Clothing,Saree,COD,212
B-25703,97,-45,4,Clothing,Saree,COD,24
B-25933,412,412,6,Clothing,Saree,COD,69
B-26098,409,86,3,Clothing,Saree,COD,136
B-25656,406,126,2,Clothing,Saree,COD,203
B-26060,382,68,3,Clothing,Saree,COD,127
B-25686,381,-13,2,Clothing,Saree,COD,191
B-25854,381,144,2,Clothing,Saree,COD,191
B-25745,296,225,11,Clothing,Saree,COD,27
B-26035,291,119,11,Clothing,Saree,COD,26
B-25856,257,3,2,Clothing,Saree,COD,129
B-25660,245,-78,3,Clothing,Saree,COD,82
B-25858,245,30,2,Clothing,Saree,COD,123
B-25650,238,20,2,Clothing,Saree,COD,119
B-26076,219,4,2,Clothing,Saree,COD,110
B-25703,47,-27,4,Clothing,Saree,COD,12
B-25858,219,0,1,Clothing,Saree,COD,219
B-25999,215,-30,2,Clothing,Saree,COD,108
B-25950,136,-33,5,Clothing,Saree,COD,27
B-25655,396,-31,9,Clothing,Saree,COD,44
B-25957,209,2,1,Clothing,Saree,COD,209
B-25750,208,-25,2,Clothing,Saree,COD,104
B-25652,206,-206,3,Clothing,Saree,COD,69
B-25750,199,-18,2,Clothing,Saree,COD,100
B-25785,192,-146,3,Clothing,Saree,COD,64
B-25680,73,-25,3,Clothing,Saree,COD,24
B-25791,175,77,3,Clothing,Saree,COD,58
B-25785,268,-25,3,Clothing,Saree,COD,89
B-25651,159,4,1,Clothing,Saree,COD,159
B-25623,149,-87,4,Clothing,Saree,COD,37
B-25673,149,-1,1,Clothing,Saree,COD,149
B-25796,148,0,3,Clothing,Saree,COD,49
B-26004,147,44,3,Clothing,Saree,COD,49
B-25952,147,48,3,Clothing,Saree,COD,49
B-25825,140,6,5,Clothing,Saree,COD,28
B-25717,138,-3,5,Clothing,Saree,COD,28
B-26085,132,-10,3,Clothing,Saree,COD,44
B-25853,128,4,3,Clothing,Saree,COD,43
